مردی,گیتاز,می,نوازد,و,دیگری,لباس,او,را,درست,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردی,با,لباس,سبز,رنگ,گیتار,در,دست,دارد,در,حالی,که,مرد,دیگر,لباس,او,را,بررسی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
مردی,مشغول,اصلاح,لباس,نوازندگان,گیتار,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
مردی,لباس,مرد,دیگری,را,می,دوزد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
دو,پسر,گیتار,می,زنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
مردی,شیر,چاق,و,بزرگی,را,در,آغوش,دارد,روی,صندلی,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
مردی,روی,صندلی,نشسته,و,یک,حیوان,بزرگ,چاق,را,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
یک,مرد,آخرین,کارها,را,برای,تعمیر,یک,شیر,عروسکی,خراب,انجام,می,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
مردی,اسباب,بازی,شیر,پشمالوی,بزرگی,را,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
مردی,به,شیر,پاره,شده,لبخند,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
دختری,سوار,بر,اسکیت,با,تلفن,همراهش,در,پارکینگ,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
دختری,با,تلفن,همراه,خود,صحبت,می,کند,و,اسکیت,به,پا,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
یک,فرد,جوان,اسکیت,پوشیده,و,تلفن,همراه,خود,را,کنار,گوش,خود,گرفته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
یک,دختر,جوان,هنگام,اسکیت,مشغول,صحبت,با,تلفن,همراهش,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
زنی,با,تلفن,همراه,صحبت,می,کند,و,اسکیت,پوشیده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
یک,مرد,آسیایی,کت,و,شلوار,مشکی,به,تن,دارد,نزدیک,یک,زن,مو,تیره,و,یک,زن,مو,قهوه,ای,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
سه,نفر,بیرون,در,نزدیکی,لوله,های,بزرگ,و,نرده,فلزی,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
زن,جوانی,از,کنار,دو,جوان,با,لباس,سیاه,عبور,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
زنی,با,کیف,بزرگ,در,حال,عبور,از,کنار,دروازه,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
چند,نفر,بیرون,از,یک,ساختمان,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
دو,مرد,همزمان,از,روی,نرده,می,پرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
دو,جوان,شب,هنگام,از,بالای,نرده,کنار,جاده,می,پرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
پسران,نیمه,های,شب,از,روی,میله,ها,می,پرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
دو,مرد,بدون,لباس,از,بالای,نرده,می,پرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
دو,نفر,با,هم,از,بالای,نرده,می,پرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
پنج,رقصنده,باله,در,استودیویی,با,نور,آفتاب,پریده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
رقصندگان,باله,در,یک,استودیو,با,فرم,فوق,العاده,تمرین,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
پنج,دختر,به,طور,همزمان,در,یک,اتاق,تمرین,رقص,می,پرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
پنج,دختر,در,کلاس,باله,در,حال,رقص,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
یک,کلاس,باله,متشکل,از,پنج,دختر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
سه,مرد,جوان,و,یک,زن,جوان,کفش,ورزشی,پوشیده,اند,بالای,پله,های,بتونی,به,هوا,می,پرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
چهار,پسر,با,لباس,غیر,معمول,از,روی,پله,در,فضای,باز,می,پرند,و,یک,دیوار,سنگی,پشت,سر,آنها,قرار,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
چهار,مرد,که,سه,تای,آن,ها,کلاه,دارند,,از,پله,ها,می,پرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
چهار,مرد,با,چهره,های,هیجان,زده,از,بالای,پله,ها,به,پایین,می,پرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
چهار,نفر,از,بالای,پلکان,می,پرند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
یک,سگ,سیاه,و,یک,سگ,سفید,با,لکه,های,قهوه,ای,در,خیابان,به,یکدیگر,خیره,شده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
یک,سگ,سیاه,و,یک,سگ,سه,رنگ,در,جاده,با,یکدیگر,بازی,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
دو,سگ,از,نژادهای,مختلف,در,جاده,به,یکدیگر,نگاه,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
دو,سگ,در,پیاده,رو,به,سمت,یکدیگر,حرکت,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
یک,سگ,سیاه,و,یک,سگ,خالدار,با,هم,دعوا,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردی,با,لباس,ایمنی,و,محافظ,گوش,با,تراکتور,در,جاده,رانندگی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
تراکتور,در,یک,خیابان,است,و,راننده,لباس,کار,پوشیده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
مردی,با,لباس,سبز,و,نارنجی,نئون,در,حال,رانندگی,با,تراکتور,سبز,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
مردی,در,تراکتور,با,هدفون,که,در,خیابان,آسفالته,رانندگی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردی,با,تراکتور,در,جاده,رانندگی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
چند,زن,جلوی,اتوبوسی,ایستاده,اند,و,ساختمانهایی,در,پشت,آن,قرار,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
چند,زن,در,خیابان,های,شهری,با,ساختمان,های,بلند,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
گروهی,از,زنان,جلوی,اتوبوس,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
چند,زن,بیرون,از,یک,شهر,منتظر,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
زنان,بیرون,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
زن,جوانی,با,موهای,تیره,و,عینک,با,استفاده,از,الک,,پودر,سفید,را,روی,کیک,می,پاشد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
خانمی,با,یک,عینک,سیاه,و,سفید,,در,حال,پاشیدن,پودر,قند,روی,یک,کیک,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
زنی,عینکی,روی,کیک,پودر,قند,می,پاشد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
دختری,با,کت,مشکی,پودر,قند,را,روی,کیک,شکلاتی,الک,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
یک,زن,ایستاده,یک,ظرف,را,بالای,کیک,نگه,داشته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
یک,دختر,کوچک,در,چمن,با,انگشتان,رنگی,جلوی,یک,بوم,با,تصویر,رنگین,کمان,بازی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
دختربچه,ای,با,لباس,و,دستان,رنگی,در,مقابل,رنگین,کمان,رنگی,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
دختری,روبروی,نقاشی,رنگین,کمان,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
یک,دختر,کوچک,مقابل,یک,رنگین,کمان,بزرگ,رنگی,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
دختر,کوچکی,در,بیرون,روی,چمن,نشسته,و,نقاشی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
مردی,که,روی,نیمکت,بیرون,خوابیده,و,یک,سگ,سفید,و,سیاه,کنار,او,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
مردی,روی,نیمکتی,که,یک,سگ,سفید,به,آن,بسته,شده,است,دراز,کشیده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
مردی,روی,نیمکت,دراز,کشیده,و,سگ,روی,زمین,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
یک,مرد,بدون,لباس,با,سگش,روی,نیمکت,پارک,دراز,کشیده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردی,روی,نیمکت,دراز,کشیده,در,حالی,که,سگش,کنار,او,نشسته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
گروهی,از,جوانان,در,داخل,خانه,,روی,صندلی,هایی,که,به,صورت,دایره,ای,مرتب,شده,اند,نشسته,و,ساز,می,نوازند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
پنج,نوازنده,,یک,مرد,و,چهار,زن,,که,در,یک,اتاق,نشیمن,مشغول,تمرین,نت,موسیقی,(با,استفاده,از,فلوت),هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
عده,ای,در,یک,جمع,به,صورت,دایره,ای,نشسته,,بعضی,از,آنها,آلات,موسیقی,در,دست,دارند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
مردم,در,یک,اتاق,جمع,شدند,تا,درباره,آهنگ,های,مورد,علاقه,خود,صحبت,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
پنج,نفر,با,سازها,دور,یک,دایره,نشسته,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
دو,زن,عینکی,کلارینت,می,زنند,و,یک,زن,مسن,در,حال,نواختن,ساز,زهی,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
چهار,نوازنده,ساز,در,یک,اتاق,پرده,دار,کلارینت,و,سازهای,دیگر,می,نوازند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
چهار,زن,در,یک,اتاق,نشیمن,که,سه,نفر,از,آنها,به,ساز,موسیقی,می,نوازند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
دسته,ای,از,زنان,سالخورده,هنگام,خواندن,نت,موسیقی,,با,هم,کلارینت,می,نوازند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
یک,گروه,چهار,نفره,در,حال,اجرای,موسیقی,با,سازهای,خود,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
فردی,با,لباس,خاکستری,در,تاریکی,و,بر,رویپلی,در,فضای,باز,به,تنهایی,استاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
یک,سازه,بزرگ,شکسته,شده,در,یک,مسیر,قرار,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
مردی,با,کت,خاکستری,روی,پل,شکسته,شده,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
یک,مرد,روی,نرده,های,چوبی,ایستاده,و,آسیب,ها,را,بررسی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
مردی,با,کت,و,شلوار,جین,روی,یک,پل,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
مردی,با,یک,تی,شرت,سفید,به,طرف,دوربین,نگاه,می,کند,و,در,نزدیکی,ایستگاه,مترو,توسط,جمعیت,احاطه,شده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
جمعیت,زیادی,از,مردم,در,جلوی,ورودی,ایستگاه,مترو,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
گروهی,از,مردم,در,خیابان,های,شهر,قدم,می,زنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
جمعیتی,در,نزدیکی,ایستگاه,مترو,به,تصویر,کشیده,شده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
جمعیت,ایستاده,در,خارج,از,منطقه,مترو,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
مردی,با,لباس,مشکی,و,دستکش,لاتکس,سفید,پشت,کسی,تتو,طراحی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
یک,مرد,در,بالای,کمر,یک,مرد,دیگر,را,خال,کوبی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
مردی,با,لباس,مشکی,برای,مرد,دیگری,خال,کوبی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
مردی,پشت,خود,را,خال,کوبی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
مردی,که,پشت,خود,را,خال,کوبی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
دو,کودک,,یک,دختر,و,یک,پسر,در,حال,نوشتن,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
دو,کودک,بر,روی,یک,الاکلنگ,کوچک,روی,شن,و,ماسه,نشسته,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
دو,کودک,که,روی,الاکلنگ,نشسته,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
دو,بچه,ای,که,روی,چوب,بازی,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
دو,بچه,روی,یک,چوب,نشسته,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
مردی,با,کلاه,کار,آبی,و,جلیقه,ایمنی,نارنجی,پرچمی,را,در,دست,دارد,و,در,یک,تقاطع,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
مردی,که,کلاه,کار,و,جلیقه,احتیاط,پوشیده,است,در,خیابان,ایستاده,و,پرچم,نارنجی,را,تکان,می,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
مردی,با,جلیقه,نئون,و,کلاه,پرچمی,را,در,گوشه,ای,از,خیابان,نگه,داشته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
یک,کارگر,ساختمانی,در,خیابان,ایستاده,و,پرچمی,قرمز,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردی,که,جلیقه,نئون,پوشیده,و,کلاه,به,سر,دارد,در,جاده,پرچمی,را,نکه,داشته,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
مرد,با,گوش,های,سوراخ,شده,عینک,و,کلاهی,نارنجی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
یک,مرد,عینکی,کلاه,بافت,پوشیده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
مردی,عینک,کلاه,بر,سر,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
مردی,با,کلاه,نارنجی,که,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
مردی,کلاه,نارنجی,و,عینک,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
شخصی,با,موهای,بلند,و,خاکستری,کلاه,بژ,و,سفید,بر,سر,دارد,بارانی,آبی,پوشیده,و,مشغول,نقاشی,مناظر,بازار,است,و,هنرمندان,و,نقاش,های,دیگری,هم,آن,جا,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
شخصی,که,کت,آبی,به,تن,دارد,,در,پیاده,رو,شلوغ,ایستاده,و,مشغول,نقاشی,از,یک,صحنه,خیابان,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
فردی,با,موهای,خاکستری,در,یک,مکان,عمومی,مشغول,نقاشی,است,که,توسط,نقاشن,دیگر,احاطه,شده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
بانویی,با,کت,آبی,با,کلاه,سفید,و,قهوه,ای,که,مقابل,یک,نقاشی,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
رهگذران,در,جال,تحسین,نقاشی,در,یک,نمایشگاه,هنری,در,فضای,باز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
یک,مرد,در,حالی,که,یک,سبد,زباله,را,نگه,داشته,روی,یک,پا,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
مردی,با,شلوار,سبز,و,لباس,آبی,گاری,را,هل,می,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
سرایدار,در,حال,هل,دادن,وسیله,و,ابزار,سرایداری,به,بیرون,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
مردی,با,شلوار,سبز,در,جاده,قدم,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مردی,با,شلوار,روشن,,گاری,را,هل,می,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
یک,کودک,در,زمین,بازی,به,طنابهای,قرمز,چسبیده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
