image_name,comment_number,comment-fa,comment,
1000523639,0,مردی گیتاز مینوازد و دیگری لباس او را درست میکند,Two people in the photo are playing the guitar and the other is poking at him,
1000523639,1,مردی با لباس سبز رنگ گیتار در دست دارد درحالی که مرد دیگر لباس او را بررسی میکند,A man in green holds a guitar while the other man observes his shirt,
1000523639,2,مردی مشغول اصلاح لباس نوازندگان گیتار است,A man is fixing the guitar players costume,
1000523639,3,مردی لباس مرد دیگری را میدوزد,a guy stitching up another man 's coat,
1000523639,4,دو پسر گیتار میزنند,the two boys playing guitar,
1000919630,0,مردی  شیر چاق و بزرگی را در آغوش دارد روی صندلی نشسته است,A man sits in a chair while holding a large stuffed animal of a lion,
1000919630,1,مردی روی صندلی نشسته و یک حیوان بزرگ چاق را در دست دارد,A man is sitting on a chair holding a large stuffed animal,
1000919630,2,یک مرد آخرین کارها را برای تعمیر یک شیر عروسکی خراب انجام میدهد,A man completes the finishing touches on a stuffed lion,
1000919630,3,مردی اسباب بازی شیر پشمالوی بزرگی را در دست دارد,A man holds a large stuffed lion toy,
1000919630,4,مردی به شیر پاره شده لبخند میزند,A man is smiling at a stuffed lion,
10010052,0,دختری سوار بر اسکیت با تلفن همراهش در پارکینگ ایستاده است,A girl is on rollerskates talking on her cellphone standing in a parking lot,
10010052,1,دختری با تلفن همراه خود صحبت میکند و اسکیت به پا دارد,A trendy girl talking on her cellphone while gliding slowly down the street,
10010052,2,یک فرد جوان اسکیت پوشیده و  تلفن همراه خود را کنار گوش خود گرفته است, A young adult wearing rollerblades holding a cellular phone to her ear,
10010052,3,یک دختر جوان هنگام اسکیت مشغول صحبت با تلفن همراهش است,there is a young girl on her cellphone while skating,
10010052,4,زنی با تلفن همراه صحبت میکند و اسکیت پوشیده است,Woman talking on cellphone and wearing rollerskates,
1001465944,0,یک مرد آسیایی کت و شلوار مشکی به تن دارد نزدیک یک زن مو تیره و یک زن مو قهوه ای ایستاده است,An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman,
1001465944,1,سه نفر بیرون در نزدیکی لوله های بزرگ و نرده فلزی ایستاده اند,Three people are standing outside near large pipes and a metal railing,
1001465944,2,زن جوانی از کنار دو جوان با لباس سیاه عبور میکند,A young woman walks past two young people dressed in hip black outfits,
1001465944,3,زنی با کیف بزرگ درحال عبور از کنار دروازه است,A woman with a large purse is walking by a gate,
1001465944,4,چند نفر بیرون از یک ساختمان ایستاده اند,Several people standing outside a building,
1001545525,0,دو مرد همزمان از روی نرده میپرند,Two men in Germany jumping over a rail at the same time without shirts,
1001545525,1,دو جوان شب هنگام از بالای نرده کنار جاده میپرند, Two youths are jumping over a roadside railing at night,
1001545525,2,پسران نیمه های شب از روی میله ها میپرند,Boys dancing on poles in the middle of the night,
1001545525,3,دو مرد بدون لباس از بالای نرده میپرند,Two men with no shirts jumping over a rail,
1001545525,4,دو نفر با هم از بالای نرده میپرند,two guys jumping over a gate together,
1001573224,0,پنج رقصنده باله در استودیویی با نور آفتاب پریده اند,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window,
1001573224,1,رقصندگان باله در یک استودیو با فرم فوق العاده تمرین میکنند,Ballet dancers in a studio practice jumping with wonderful form,
1001573224,2,پنج دختر به طور همزمان در یک اتاق تمرین رقص میپرند,Five girls are leaping simultaneously in a dance practice room,
1001573224,3,پنج دختر در کلاس باله درحال رقص اند,Five girls dancing and bending feet in ballet class,
1001573224,4,یک کلاس باله متشکل از پنج دختر,A ballet class of five girls jumping in sequence,
1001633352,0,سه مرد جوان و یک زن جوان کفش ورزشی پوشیده اند بالای پله های بتونی به هوا میپرند,Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs,
1001633352,1,چهار پسر با لباس غیر معمول از روی پله در فضای باز میپرند و یک دیوار سنگی پشت سر آن ها قرار دارد,Four casually dressed guys jumping down a stairway outdoors with a stone wall behind them,
1001633352,2,چهار مرد که سه تای آن ها کلاه دارند از پله ها میپرند,Four guys three wearing hats one not are jumping at the top of a staircase,
1001633352,3,چهار مرد با چهره های هیجان زده از بالای پله ها به پایین میپرند,Four men with excited faces are jumping down from the top of stairs,
1001633352,4,چهار نفر از بالای پلکان میپرند,Four people are jumping from the top of a flight of stairs,
1001773457,0,یک سگ سیاه و یک سگ سفید با لکه های قهوه ای در خیابان به یکدیگر خیره شده اند,A black dog and a white dog with brown spots are staring at each other in the street,
1001773457,1,یک سگ سیاه و یک سگ سه رنگ در جاده با یکدیگر بازی میکنند,A black dog and a tri-colored dog playing with each other on the road,
1001773457,2,دو سگ از نژادهای مختلف در جاده به یکدیگر نگاه میکنند,Two dogs of different breeds looking at each other on the road,
1001773457,3,دو سگ در پیاده رو به سمت یکدیگر حرکت میکنند,Two dogs on pavement moving toward each other,
1001773457,4,یک سگ سیاه و یک سگ خالدار با هم دعوا میکنند,A black dog and a spotted dog are fighting,
1001896054,0,مردی با لباس ایمنی و محافظ گوش با تراکتور در جاده رانندگی میکند,A man with reflective safety clothes and ear protection drives a John Deere tractor on a road,
1001896054,1,تراکتور در یک خیابان است و راننده لباس کار پوشیده است, John Deere tractors cruises down a street while the driver wears easy to see clothing,
1001896054,2,مردی با لباس سبز و نارنجی نئون درحال رانندگی با تراکتور سبز است,A man in a neon green and orange uniform is driving on a green tractor,
1001896054,3,مردی در تراکتور با هدفون که در خیابان آسفالته رانندگی میکند,A man in a tractor wearing headphones driving down a paved street,
1001896054,4,مردی با تراکتور در جاده رانندگی میکند,A man driving a John Deere tractor on a main road in the country,
100197432,0,چند زن جلوی اتوبوسی ایستاده اند و ساختمانهایی در پشت آن قرار دارد,Some women are standing in front of a bus with buildings behind it,
100197432,1,چند زن در خیابان های شهری با ساختمان های بلند ایستاده اند,Several women stand on a city street with tall buildings,
100197432,2,گروهی از زنان جلوی اتوبوس ایستاده اند,A group of women are standing in front of a bus,
100197432,3,چند زن بیرون از یک شهر منتظر هستند,Several women wait outside in a city,
100197432,4,زنان بیرون ایستاده اند,Women are standing outside,
100207720,0,زن جوانی با موهای تیره و عینک، با استفاده از الک پودر سفید را روی کیک میپاشد,A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter,
100207720,1,خانمی با یک عینک سیاه و سفید درحال پاشیدن پودر قند روی یک کیک است,A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake,
100207720,2,زنی عینکی روی کیک پودر قند میپاشد,A woman wearing glasses sprinkles powdered sugar onto her bundt cake,
100207720,3,دختری با کت مشکی پودر قند را روی کیک شکلاتی الک میکند,Girl in black jacket sifting powdered sugar over a chocolate cake,
100207720,4,یک زن ایستاده یک ظرف را بالای کیک نگه داشته است,A standing woman holds a pan over a cake,
1002674143,0,یک دختر کوچک در چمن با انگشتان رنگی جلوی یک بوم با تصویر رنگین کمان بازی میکند,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it,
1002674143,1,دختربچه ای با لباس و دستان رنگی در مقابل رنگین کمان رنگی نشسته است,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl,
1002674143,2,دختری روبروی نقاشی رنگین کمان نشسته است,There is a girl with pigtails sitting in front of a rainbow painting,
1002674143,3,یک دختر کوچک مقابل یک رنگین کمان بزرگ رنگی نشسته است,A little girl is sitting in front of a large painted rainbow,
1002674143,4,دختر کوچکی در بیرون روی چمن نشسته و نقاشی میکند,Young girl with pigtails painting outside in the grass,
1003163366,0,مردی که روی نیمکت بیرون خوابیده و یک سگ سفید و سیاه کنار او نشسته است,a man sleeping on a bench outside with a white and black dog sitting next to him,
1003163366,1,مردی روی نیمکتی که یک سگ سفید به آن بسته شده است، دراز کشیده است,A man lays on the bench to which a white dog is also tied,
1003163366,2,مردی  روی نیمکت دراز کشیده و سگ روی زمین نشسته است,man laying on bench holding leash of dog sitting on ground,
1003163366,3,یک مرد بدون لباس با سگش روی نیمکت پارک دراز کشیده است,A shirtless man lies on a park bench with his dog,
1003163366,4,مردی روی نیمکت دراز کشیده درحالی که سگش کنار او نشسته است,A man lays on a bench while his dog sits by him,
1003420127,0,گروهی از جوانان، در داخل خانه روی صندلی هایی که به صورت دایره ای مرتب شده اند نشسته و ساز مینوازند, A group of adults inside a home sitting on chairs arranged in a circle playing a type of musical instruments,
1003420127,1,پنج نوازنده یک مرد و چهار زن که در یک اتاق نشیمن مشغول تمرین نت موسیقی (با استفاده از فلوت) هستند, Five musicians a man and four women practicing sheet music (using flutes ) in a living room,
1003420127,2,عده ای در یک جمع به صورت دایره ای نشسته بعضی از آن ها آلات موسیقی در دست دارند, People gathered in a circle some holding musical instruments,
1003420127,3,مردم در یک اتاق جمع شدند تا درباره آهنگ های مورد علاقه خود صحبت کنند,People gathered in a room to talk about their favorite tunes,
1003420127,4,پنج نفر با سازها دور یک دایره نشسته اند,Five people are sitting in a circle with instruments,
1003428081,0,دو زن عینکی، کلارینت میزنند و یک زن مسن درحال نواختن ساز زهی است, Two women both wearing glasses are playing clarinets and an elderly woman is playing a stringed instrument,
1003428081,1,چهار نوازنده ساز در یک اتاق پرده دار کلارینت و سازهای دیگر مینوازند,At least four instrumentalists play clarinets and other instruments in a curtained room,
1003428081,2,چهار زن در یک اتاق نشیمن که سه نفر از آن ها به ساز موسیقی مینوازند, Four women in a living room three of which are clearly playing a musical instrument,
1003428081,3,دسته ای از زنان سالخورده هنگام خواندن نت موسیقی با هم کلارینت مینوازند,A bunch of elderly women play their clarinets together as they read off sheet music,
1003428081,4,یک گروه چهار نفره درحال اجرای موسیقی با سازهای خود هستند, A group of four women are performing music on their instruments,
100444898,0,فردی با لباس خاکستری در تاریکی و بر رویپلی در فضای باز به تنهایی استاده است,A person in gray stands alone on a structure outdoors in the dark,
100444898,1,یک سازه بزرگ شکسته شده در یک مسیر قرار دارد,A large structure has broken and is laying in a roadway,
100444898,2,مردی با کت خاکستری روی پل شکسته شده ایستاده است,A man in a gray coat is standing on a washed out bridge,
100444898,3,یک مرد روی نرده های چوبی ایستاده و آسیب ها را بررسی میکند,A man stands on wooden supports and surveys damage,
100444898,4,مردی با کت و شلوار جین روی یک پل ایستاده است,A man in a jacket and jeans standing on a bridge,
1005216151,0,مردی با یک تی شرت سفید به طرف دوربین نگاه میکند و در نزدیکی ایستگاه مترو توسط جمعیت احاطه شده است,A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station,
1005216151,1,جمعیت زیادی از مردم در جلوی ورودی ایستگاه مترو ایستاده اند,A large crowd of people stand outside in front of the entrance to a Metro station,
1005216151,2,گروهی از مردم در خیابان های شهر قدم میزنند,A group of people are walking through a city street,
1005216151,3,جمعیتی در نزدیکی ایستگاه مترو به تصویر کشیده شده است,A crowd is portrayed near a metro station,
1005216151,4,جمعیت ایستاده در خارج از منطقه مترو,Crowd standing outside a metro area,
100577935,0,مردی با لباس مشکی و دستکش لاتکس سفیدپشت کسی تتو طراحی میکند,A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back,
100577935,1,یک مرد در بالای کمر یک مرد دیگر را خال کوبی میکند,A man is putting a tattoo on a another 's man upper back,
100577935,2,مردی با لباس مشکی برای مرد دیگری خال کوبی میکند,A man with a black shirt giving another man a tattoo,
100577935,3,مردی پشت خود را خال کوبی میکند,A man is putting tattoo on his back,
100577935,4,مردی که پشت خود را خال کوبی میکند,A man getting a tattoo on his back,
1006452823,0,دو کودک یک دختر و یک پسر درحال نوشتن هستند, two children a girl and a boy are practicing their writing,
1006452823,1,دو کودک بر روی یک الاکلنگ کوچک روی شن و ماسه نشسته اند,Two children sit on a small seesaw in the sand,
1006452823,2,دو کودک که روی الاکلنگ نشسته اند,Two children sitting on a teeter totter,
1006452823,3,دو بچه ای که روی چوب بازی میکنند,2 kids playing on a seesaw,
1006452823,4,دو بچه روی یک چوب نشسته اند,Two kids sit on a seesaw,
100652400,0,مردی با کلاه کار آبی و جلیقه ایمنی نارنجی پرچمی را در دست دارد و در یک تقاطع ایستاده است,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag,
100652400,1,مردی که کلاه کار و جلیقه احتیاط پوشیده است در خیابان ایستاده و پرچم نارنجی را تکان میدهد,A man wearing a hard hat and a caution vest is standing in the street waving an orange flag,
100652400,2,مردی با جلیقه نئون و کلاه پرچمی را در گوشه ای از خیابان نگه داشته است,A man in bright vest and hard hat holds a flag on a street corner covered in spray paint,
100652400,3,یک کارگر ساختمانی در خیابان ایستاده و پرچمی قرمز در دست دارد,A construction worker is standing in the street and holding a red flag,
100652400,4,مردی که جلیقه نئون پوشیده و کلاه به سر دارد در جاده، پرچمی را نکه داشته است,A man wearing a reflective vest and a hard hat holds a flag in the road,
1007129816,0,مرد با گوش های سوراخ شده عینک و کلاهی نارنجی,The man with pierced ears is wearing glasses and an orange hat,
1007129816,1,یک مرد عینکی کلاه بافت پوشیده است,A man with glasses is wearing a beer can crocheted hat,
1007129816,2,مردی عینک کلاه بر سر دارد,A man with gauges and glasses is wearing a Blitz hat,
1007129816,3,مردی با کلاه نارنجی که ایستاده است,A man in an orange hat starring at something,
1007129816,4,مردی کلاه نارنجی و عینک دارد,A man wears an orange hat and glasses,
100716317,0,شخصی با موهای بلند و خاکستری کلاه بژ و سفید بر سر دارد بارانی آبی پوشیده و مشغول نقاشی مناظر بازار است و هنرمندان و نقاش های دیگری هم آن جا هستند,A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings,
100716317,1,شخصی که کت آبی به تن دارد در پیاده رو شلوغ ایستاده و مشغول نقاشی از یک صحنه خیابان است, A person dressed in a blue coat is standing in on a busy sidewalk studying painting of a street scene,
100716317,2,فردی با موهای خاکستری در یک مکان عمومی مشغول نقاشی است که توسط نقاشن دیگر احاطه شده است,A person with gray hair is painting in a public place surrounded by others who are also painting,
100716317,3,بانویی با کت آبی با کلاه سفید و قهوه ای که مقابل یک نقاشی ایستاده است,Lady in blue coat with white and brown hat standing in front of a painting,
100716317,4,رهگذران در جال تحسین نقاشی در یک نمایشگاه هنری در فضای باز,Passerby admiring painting at an outdoor art fair,
1007205537,0,یک مرد درحالی که یک سبد زباله را نگه داشته روی یک پا ایستاده است,A man stands on one foot while holding on to a waste basket,
1007205537,1,مردی با شلوار سبز و لباس آبی گاری را هل میدهد,A man in green pants and blue shirt pushing a cart,
1007205537,2,سرایدار درحال هل دادن وسیله و ابزار سرایداری به بیرون,Janitor pushing dolly outside with janitor tools,
1007205537,3,مردی با شلوار سبز در جاده قدم میزند,A man in green pants walking down the road,
1007205537,4,مردی با شلوار روشن گاری را هل میدهد,A man in bright pants is pushing a cart,
1007320043,0,یک کودک در زمین بازی به طنابهای قرمز چسبیده است,A small child grips onto the red ropes at the playground,
1007320043,1,یک دختر کوچک با لباس صورتی از یک پل طنابی در پارک بالا میرود,A little girl in pink climbs a rope bridge at the park,
1007320043,2,کودک از طناب های قرمز در زمین بازی بالا میرود,The small child climbs on a red ropes on a playground,
1007320043,3,یک دختر کوچک که درحال بازی با طناب قرمز است,A little girl climbing on red roping,
1007320043,4,کودکی که روی تور طناب بازی میکند,A child playing on a rope net,
100759042,0,مرد جوانی با کاپشن که یک خلال دندان با چیزی در انتهای آن در دست دارد,Young man in jacket holding a toothpick with something on the end of it,
100759042,1,مرد جوانی با گلی در دستش درحال مسافرت با اتوبوس است,A young man traveling on bus with a piece of flower in his hands,
100759042,2,نوجوانی چیزی را برای عکاسی در دست دارد,A teen holding an unknown object for photographers,
100759042,3,یک مرد جوان در قطار اریگامی در دست دارد,A young man on a train holds an origami crane,
100759042,4,پسری در قطار یک شی کاغذی در دست دارد و به دوربین نگاه میکند,You know i am looking like Justin Bieber,
10082347,0,مرد جوان با کاپشن آبی و زرد جلوی توری ایستاده و لبخند میزند,Young blond man in a blue and yellow jacket smiling while standing in front of a net,
10082347,1,مرد جوانی با کت سیاه و زرد به چیزی نگاه میکند و لبخند میزند,A young man in a black and yellow jacket is gazing at something and smiling,
10082347,2,مرد جوان میله به دستی که لبخند میزند,A young man holding a pole vault looks determined,
10082347,3,مردی میله ای را در دست گرفته و لبخند میزند,A man is holding a pole and smiling,
10082347,4,مردی خندان که به آسمان نگاه میکند,A smiling man looking at the sky,
10082348,0,مردی با کلاه بیس بال و ژاکت مشکی درحالی که لیوان قهوه را در دست گرفته در دستشویی ایستاده است,A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug,
10082348,1,مردی کلاه بر سر دارد و فنجان قهوه در دست دارد,A man is wearing a ball cap and holding a coffee cup between to urinals,
10082348,2,مردی کنار یک دستشویی با یک فنجان قهوه ژست گرفته است,a man is posing next to a urinal with a cup of coffee,
10082348,3,مردی در دستشویی یک فنجان قهوه در دست دارد,A man holds a coffee cup while in the bathroom,
10082348,4,مردی با یک فنجان قهوه کنار دستشویی ایستاده است,A man standing at a urinal with a coffee cup,
100845130,0,پنج نفر در مقابل یک آسمان چند رنگ در پس زمینه راه میروند,Five people walking with a multicolored sky in the background,
100845130,1,چهار نفر در غروب خورشید در آسمان آبی روشن قدم میزنند,Four people walking through the sunset in clear blue skies,
100845130,2,چهار نفر با غروب خورشید پشت سر خود راه میروند,Four people walking with the sun setting behind them,
100845130,3,چهار سایه غروب آفتاب را نگاه میکنند,Four silhouettes decorate the horizon 's sunset,
100845130,4,چند نفر مقابل غروب خورشید راه میروند,A group of people walking as the sun sets,
10090841,0,مردی با موهای سیاه در یک رستوران با یک لیوان نوشیدنی نشسته است,A man with black hair sits in a restaurant with a glass of beer,
10090841,1,مردی پشت میز با یک نوشیدنی نشسته است,A man is sitting at a table with a drink,
10090841,2,مردی پشت میز با آبجو نشسته است,A man is sitting at a table with a beer,
10090841,3,مردی با موهای تیره و درحال نوشیدن,A dark-haired man sitting drinking,
10090841,4,پیرمردی که آبجو دارد,A old man having a beer alone,
1009434119,0,یک سگ سیاه و سفید در یک چمنزار با حصار سفید درحال دویدن است,A black and white dog is running in a grassy garden surrounded by a white fence,
1009434119,1,یک بوستون تریر در جلوی حصار سفید با چمن های سبز درحال دویدن است,A Boston Terrier is running on lush green grass in front of a white fence,
1009434119,2,یک سگ سیاه و سفید بین چمن ها درحال دویدن است,A black and white dog is running through the grass,
1009434119,3,سگی روی چمن های سبز نزدیک حصار چوبی میدود,A dog runs on the green grass near a wooden fence,
1009434119,4,یک تریر بوستون درحال دویدن روی چمن است,A Boston terrier is running in the grass,
1009692167,0,یک افسر با جلیقه نئون با سگش جلوی وانت ایستاده است,An officer in a reflective vest stands at the front of his van with his dog,
1009692167,1,یک سگ پلیس آموزش دیده در کنار صاحب خود مقابل وانت پلیس نشسته است,A trained police dog sits next to his handler in front of the police van,
1009692167,2,یک مرد با سگ نگهبان خود به دنبال چیزی است,A security man with his watch dog is looking for something,
1009692167,3,یک پلیس با یک سگ ژرمن شپرد ایستاده است,A policeman is standing with a German Shepherd dog,
1009692167,4,یک پلیس در خیابان با سگ ایستاده است,A policeman stops on a street with a search dog,
101001624,0,مردی با ژاکت کلفت و کلاه قرمزی سوار بر دوچرخه در حومه شهر در یک روز برفی, The  white out  conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood,
101001624,1,پسر جوانی با دوچرخه از جاده ای پوشیده از برف عبور میکند,A young boy rides a bike down a snow covered road,
101001624,2,پسری در برف با دوچرخه خود از خیابان عبور میکند,A boy in the snow riding his bike down the street,
101001624,3,شخصی که در جاده برفی دوچرخه سواری میکند,A person riding a bike on a snowy road,
101001624,4,پسری که در برف دوچرخه سواری میکند,A person riding a bike in snow,
1010031975,0,پنج مرد با لباس یکسان سفید، کراوات و شلوارهای مشکی در پشت وانتی که در آن  باز است با هم گفتگو میکنند, Five men uniformly dressed in white shirts tie and black slacks converse at the back of an open van,
1010031975,1,گروهی از پنج مرد سفیدپوست با لباس سفید که پشت یک ون در یک پارکینگد مشغول صحبت هستند,small group of 5 white males in white suits hanging out by the back of a van in a parking lot talking,
1010031975,2,پنج مرد با لباس آستین کوتاه سفید و کراوات در یک خبایان ایستاده اند,Five men in white short-sleeved shirts and ties stand in a parking lot,
1010031975,3,گروهی از مردان که کراوات بسته انددر خیابان ایستاده و صحبت میکنند,A group of men wearing ties talk while standing on the street,
1010031975,4,همکارانی که در وقت استراحت با هم صحبت میکنند,Colleges stop to take a break from there business meetings,
1010087179,0,مرد کلاهی را برعکس پوشیده و از بین دستگاه ها به دوربین نگاه میکند,A tan man with a backwards hat looks at the camera while walking through a factory,
1010087179,1,پیرمردی که در یک کارخانه کار میکند,Older man working in a factory not looking too excited about the photograph,
1010087179,2,مردی با لباس سفید و کلاه سیاه در میان ماشین آلات,A man in a white shirt and black camp among many machines,
1010087179,3,مردی با کلاه رو به عقب با دسگاه ها کار میکند,A man with a backwards hat works on machinery,
1010087179,4,مردی هنگام کار کلاه رو به عقب به سر دارد,A man wearing a backwards cap at work,
1010087623,0,یک مرد با لباس آستین کوتاه مشکی و زنی با پوست تیره و لباس بدون آستین در حط تولید کار میکنند,A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor,
1010087623,1,یک زن سیاه پوست و یک مرد سفیدپوست در یک کارخانه مشغول کار هستند و شیشه ها را بسته بندی میکنند,A black woman and a white man working in a factory setting packing jars with candles into boxes,
1010087623,2,زنی درحال مرتب سازی شمع های بلند سفید است و مردی با لباس سبز پشت سر او ایستاده است,A woman is sorting white tall candles as a man in a green shirt stands behind her,
1010087623,3,یک مدیر انبار که به یک کارمند کمک میکند,A warehouse manager assisting an employee,
1010087623,4,دو نفر که روی خط مونتاژ کار میکنند,Two people working on an assembly line,
10101477,0,مردی که لباس آبی و سفید بر تن دارد جارویی در دست دارد و پس زمینه معماری سنتی آسیایی دارد, Man wearing a blue and white outfit holding a broom with a traditional Asian architecture in the background,
10101477,1,یک مرد آسیایی روپوش سفید و شلوارآبی پوشیده و زمین را جلور میزند,A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement,
10101477,2,مردی با کیمونوی سفید و آبی زمین را جارو میکند,A man in a white and blue kimono is using a broom to sweep pavement,
10101477,3,مردی که خیابان را جارو میکند,Man sweeping the street outside,
10101477,4,مرد آسیایی درحال جارو زدن پیاده رو است,Asian man sweeping the walkway,
1010470346,0,دو پلیس مرد کنار اتومبیل های پارک شده در مقابل یک ساختمان کوچک ایستاده اند و یکی از آن ها با یک راننده صحبت میکند و یک زن با دوچرخه دیده میشود,two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by,
1010470346,1,مردی با راننده صحبت میکند و مردی با دوچرخه به آن ها نگاه میکند, A man leans into a car to talk to the driver as a man on a bicycle looks on,
1010470346,2,مردی با دوچرخه درحال تماشای یک اتومبیل است که منتظر عبور از یک ایست بازرسی است,A man on a bicycle watching a row of cars waiting to go through a checkpoint,
1010470346,3,یک پارکبان با یک گردشگر صحبت میکند,A park ranger talking to a tourist,
1010470346,4,دو ماشین بیرون پارک شده اند,Two cars are parked outside,
1010673430,0,یک دختر بچه با لباس صورتی و یک دختر بچه با لباس نارنجی روی چمن نشسته اند,A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass,
1010673430,1,دو کودک که تنقلات میخورند و روی چمن بازی میکنند,Two young children eating a snack and playing in the grass,
1010673430,2,دو کودک نوپا روی چمن,Two young toddlers outside on the grass,
1010673430,3,دو کودک در حیاط بازی میکنند,Two infants are at play in the yard,
1010673430,4,دو دختر بچه که چیپس میخورند,2 female babies eating chips,
101093029,0,مردم مردی را با شلوار نقره ای در یک وسیله چرخدار نقره ای نگاه میکنند,A person in tan pants is inside a silver mobile object while people watch,
101093029,1,مردم یک وسیله نقلیه عجیب و غریب را در یک میدان تماشا میکنند,People are watching a person in a weird vehicle in a plaza,
101093029,2,مردی با لباس نقره ای درحال رانندگی با وسیله نقلیه,A man in a blue shirt driving a Segway type vehicle,
101093029,3,نمایش محصول برای تبلیغات,a showing of product to advertise,
101093029,4,جمعیتی که هنر مدرن را نگاه میکنند,A crowd admiring modern art ?,
101093045,0,مرد سیاهپوش نزدیک به یک شی نقره ای عجیب و غریب که یک فرد سوار بر آن است ایستاده درحالی که عده ای تماشاگر از پشت طناب آن ها را نگاه میکنند , A man in black approaches a strange silver object containing a person while many onlookers observe from behind a roped off barrier,
101093045,1,شخصی وسیله نقلیه آینده را میراند,A person drives around a futuristic looking vehicle while a man approaches her and a crowd watches,
101093045,2,شخصی که سوار وسیله نقلیه آینده است,A person riding in a futuristic single-person vehicle,
101093045,3,مردی سوار بر صندلی چهار چرخ نقره ای,man walking up to silver 4-wheeled chair,
101093045,4,مردی با وسیله نقره ای راه میرود,A man walks by a silver vehicle,
1011572216,0,عروس و داماد در کنار یکدیگر در کنار ساختمان آجری,bride and groom walking side by side out of focus on pathway next to brick building,
1011572216,1,عروس زیبایی که با شوهر جدیدش در پیاده رو قدم میزند,A beautiful bride walking on a sidewalk with her new husband,
1011572216,2,یک زوج تازه ازدواج کرده جلوی دوربین ژست میگیرند,A recently married couple pose for the camera,
